date,MERCHANT_1_NUMBER_OF_TRX,MERCHANT_2_NUMBER_OF_TRX,MERCHANT_LOW_NUMBER_OF_TRX
2021-05-01 00:00:00,0.0,0.0,0.0
2021-05-01 01:00:00,132.0,1.0,0.0
2021-05-01 02:00:00,100.0,1.0,0.0
2021-05-01 03:00:00,72.0,0.0,0.0
2021-05-01 04:00:00,105.0,0.0,0.0
2021-05-01 05:00:00,145.0,0.0,0.0
2021-05-01 06:00:00,116.0,0.0,0.0
2021-05-01 07:00:00,87.0,0.0,0.0
2021-05-01 08:00:00,64.0,0.0,0.0
2021-05-01 09:00:00,72.0,0.0,0.0
2021-05-01 10:00:00,73.0,0.0,0.0
2021-05-01 11:00:00,117.0,1.0,0.0
2021-05-01 12:00:00,126.0,0.0,0.0
2021-05-01 13:00:00,0.0,1.0,0.0
2021-05-01 14:00:00,0.0,0.0,0.0
2021-05-01 15:00:00,0.0,0.0,0.0
2021-05-01 16:00:00,0.0,0.0,0.0
2021-05-01 17:00:00,0.0,0.0,0.0
2021-05-01 18:00:00,0.0,0.0,0.0
2021-05-01 19:00:00,0.0,2.0,0.0
2021-05-01 20:00:00,0.0,0.0,0.0
2021-05-01 21:00:00,0.0,1.0,0.0
2021-05-01 22:00:00,0.0,0.0,0.0
2021-05-01 23:00:00,0.0,1.0,0.0
2021-05-02 00:00:00,0.0,0.0,0.0
2021-05-02 01:00:00,102.0,0.0,0.0
2021-05-02 02:00:00,81.0,0.0,0.0
2021-05-02 03:00:00,53.0,0.0,0.0
2021-05-02 04:00:00,85.0,0.0,0.0
2021-05-02 05:00:00,152.0,0.0,0.0
2021-05-02 06:00:00,111.0,0.0,0.0
2021-05-02 07:00:00,119.0,0.0,0.0
2021-05-02 08:00:00,93.0,0.0,0.0
2021-05-02 09:00:00,77.0,0.0,0.0
2021-05-02 10:00:00,84.0,0.0,0.0
2021-05-02 11:00:00,105.0,0.0,0.0
2021-05-02 12:00:00,95.0,0.0,0.0
2021-05-02 13:00:00,0.0,0.0,0.0
2021-05-02 14:00:00,0.0,0.0,0.0
2021-05-02 15:00:00,0.0,0.0,0.0
2021-05-02 16:00:00,0.0,0.0,0.0
2021-05-02 17:00:00,0.0,1.0,0.0
2021-05-02 18:00:00,0.0,1.0,0.0
2021-05-02 19:00:00,0.0,0.0,0.0
2021-05-02 20:00:00,0.0,1.0,0.0
2021-05-02 21:00:00,0.0,1.0,0.0
2021-05-02 22:00:00,0.0,0.0,0.0
2021-05-02 23:00:00,0.0,0.0,0.0
2021-05-03 00:00:00,0.0,0.0,0.0
2021-05-03 01:00:00,77.0,1.0,0.0
2021-05-03 02:00:00,53.0,2.0,0.0
2021-05-03 03:00:00,49.0,3.0,0.0
2021-05-03 04:00:00,58.0,0.0,0.0
2021-05-03 05:00:00,87.0,0.0,0.0
2021-05-03 06:00:00,60.0,0.0,0.0
2021-05-03 07:00:00,65.0,0.0,0.0
2021-05-03 08:00:00,32.0,0.0,0.0
2021-05-03 09:00:00,42.0,0.0,0.0
2021-05-03 10:00:00,54.0,0.0,0.0
2021-05-03 11:00:00,83.0,0.0,0.0
2021-05-03 12:00:00,100.0,0.0,0.0
2021-05-03 13:00:00,0.0,0.0,0.0
2021-05-03 14:00:00,0.0,0.0,0.0
2021-05-03 15:00:00,0.0,0.0,0.0
2021-05-03 16:00:00,0.0,1.0,0.0
2021-05-03 17:00:00,0.0,5.0,0.0
2021-05-03 18:00:00,0.0,0.0,0.0
2021-05-03 19:00:00,0.0,0.0,0.0
2021-05-03 20:00:00,0.0,1.0,0.0
2021-05-03 21:00:00,0.0,4.0,0.0
2021-05-03 22:00:00,0.0,0.0,0.0
2021-05-03 23:00:00,0.0,0.0,0.0
2021-05-04 00:00:00,0.0,0.0,0.0
2021-05-04 01:00:00,72.0,0.0,0.0
2021-05-04 02:00:00,69.0,0.0,0.0
2021-05-04 03:00:00,41.0,0.0,0.0
2021-05-04 04:00:00,72.0,0.0,0.0
2021-05-04 05:00:00,94.0,0.0,0.0
2021-05-04 06:00:00,77.0,0.0,0.0
2021-05-04 07:00:00,30.0,0.0,0.0
2021-05-04 08:00:00,36.0,0.0,0.0
2021-05-04 09:00:00,30.0,0.0,0.0
2021-05-04 10:00:00,55.0,0.0,0.0
2021-05-04 11:00:00,92.0,1.0,0.0
2021-05-04 12:00:00,94.0,1.0,0.0
2021-05-04 13:00:00,0.0,0.0,0.0
2021-05-04 14:00:00,0.0,3.0,0.0
2021-05-04 15:00:00,0.0,1.0,0.0
2021-05-04 16:00:00,0.0,0.0,0.0
2021-05-04 17:00:00,0.0,0.0,0.0
2021-05-04 18:00:00,0.0,1.0,0.0
2021-05-04 19:00:00,0.0,1.0,0.0
2021-05-04 20:00:00,0.0,1.0,0.0
2021-05-04 21:00:00,0.0,1.0,0.0
2021-05-04 22:00:00,0.0,1.0,0.0
2021-05-04 23:00:00,0.0,2.0,0.0
2021-05-05 00:00:00,0.0,0.0,0.0
2021-05-05 01:00:00,68.0,2.0,0.0
2021-05-05 02:00:00,70.0,0.0,0.0
2021-05-05 03:00:00,41.0,0.0,0.0
2021-05-05 04:00:00,47.0,0.0,0.0
2021-05-05 05:00:00,105.0,0.0,0.0
2021-05-05 06:00:00,67.0,0.0,0.0
2021-05-05 07:00:00,47.0,0.0,0.0
2021-05-05 08:00:00,43.0,0.0,0.0
2021-05-05 09:00:00,41.0,0.0,0.0
2021-05-05 10:00:00,45.0,0.0,0.0
2021-05-05 11:00:00,81.0,2.0,0.0
2021-05-05 12:00:00,78.0,0.0,0.0
2021-05-05 13:00:00,0.0,1.0,0.0
2021-05-05 14:00:00,0.0,1.0,0.0
2021-05-05 15:00:00,0.0,0.0,0.0
2021-05-05 16:00:00,0.0,1.0,0.0
2021-05-05 17:00:00,0.0,1.0,0.0
2021-05-05 18:00:00,0.0,1.0,0.0
2021-05-05 19:00:00,0.0,0.0,0.0
2021-05-05 20:00:00,0.0,0.0,0.0
2021-05-05 21:00:00,0.0,1.0,0.0
2021-05-05 22:00:00,0.0,1.0,0.0
2021-05-05 23:00:00,0.0,2.0,0.0
2021-05-06 00:00:00,0.0,0.0,0.0
2021-05-06 01:00:00,81.0,0.0,0.0
2021-05-06 02:00:00,63.0,0.0,0.0
2021-05-06 03:00:00,58.0,0.0,0.0
2021-05-06 04:00:00,81.0,1.0,0.0
2021-05-06 05:00:00,89.0,0.0,0.0
2021-05-06 06:00:00,90.0,0.0,0.0
2021-05-06 07:00:00,48.0,0.0,0.0
2021-05-06 08:00:00,44.0,0.0,0.0
2021-05-06 09:00:00,44.0,0.0,0.0
2021-05-06 10:00:00,42.0,1.0,0.0
2021-05-06 11:00:00,91.0,0.0,0.0
2021-05-06 12:00:00,77.0,1.0,0.0
2021-05-06 13:00:00,0.0,1.0,0.0
2021-05-06 14:00:00,0.0,0.0,0.0
2021-05-06 15:00:00,0.0,0.0,0.0
2021-05-06 16:00:00,0.0,1.0,0.0
2021-05-06 17:00:00,0.0,2.0,0.0
2021-05-06 18:00:00,0.0,0.0,0.0
2021-05-06 19:00:00,0.0,3.0,0.0
2021-05-06 20:00:00,0.0,1.0,0.0
2021-05-06 21:00:00,0.0,0.0,0.0
2021-05-06 22:00:00,0.0,1.0,0.0
2021-05-06 23:00:00,0.0,0.0,0.0
2021-05-07 00:00:00,0.0,0.0,0.0
2021-05-07 01:00:00,84.0,1.0,0.0
2021-05-07 02:00:00,50.0,0.0,0.0
