TIME,USER_1_NUMBER_OF_TRX,USER_1_AMOUNT,USER_2_NUMBER_OF_TRX,USER_2_AMOUNT,USER_3_NUMBER_OF_TRX,USER_3_AMOUNT,USER_4_NUMBER_OF_TRX,USER_4_AMOUNT,USER_5_NUMBER_OF_TRX,USER_5_AMOUNT,MERCHANT_1_NUMBER_OF_TRX,MERCHANT_1_AMOUNT,MERCHANT_2_NUMBER_OF_TRX,MERCHANT_2_AMOUNT,MERCHANT_3_NUMBER_OF_TRX,MERCHANT_3_AMOUNT,MERCHANT_4_NUMBER_OF_TRX,MERCHANT_4_AMOUNT,MERCHANT_5_NUMBER_OF_TRX,MERCHANT_5_AMOUNT
2021-05-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01 01:00:00,1.0,11101.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,7029741.0,1.0,47376.47,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11129286.0,1.0,17700.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,9962294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,8054443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01 05:00:00,0.0,0.0,1.0,14500.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,12722903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,11720419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01 07:00:00,0.0,0.0,1.0,28300.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,5282895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3854408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,4032265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
